NM_MUN,Total,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Branca,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Preta,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Amarela,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Parda,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Indígena,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Total.1,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Branca.1,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Preta.1,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Amarela.1,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Parda.1,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Indígena.1,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Total.2,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Branca.2,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Preta.2,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Amarela.2,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Parda.2,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Indígena.2,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180
,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais,Total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,75 anos ou mais,80 anos ou mais
Pernambuco,"86,59","97,6","97,3","95,9","90,79","83,18","75,72","64,83","58,74","57,02","88,95","97,87","97,66","96,67","92,91","86,98","81,74","72,48","67,43","65,73","83,59","97,23","97,14","95,33","89,55","80,67","70,53","56,06","47,83","45,56","89,76","97,95","98,53","97,29","92,98","85,68","80,18","70,75","66,42","66,67","85,81","97,52","97,15","95,62","89,89","81,52","73,09","60,8","53,29","51,07","82,76","96,41","96,14","93,46","85,83","77,14","67,24","52,27","43,99","41,52","85,16","96,59","96,19","94,2","88,19","80,14","73,23","63,39","56,48","54,76","87,8","97,08","96,85","95,38","90,71","84,19","79,38","70,98","64,93","62,92","82,71","96,13","95,99","93,58","87,19","78,5","68,98","56,03","47,76","45,95","87,43","96,45","97,97","95,67","90,38","80,29","77,8","71,08","66,09","67,48","84,22","96,43","95,9","93,74","87,1","78,33","70,52","59,64","51,74","49,89","80,75","95,23","94,36","90,6","81,72","73,17","64,55","52,46","44,68","43,02","87,84","98,63","98,4","97,47","93,14","85,81","77,75","65,85","60,17","58,35","89,9","98,64","98,44","97,83","94,77","89,21","83,54","73,44","68,83","67,17","84,49","98,47","98,45","97,24","92,12","82,93","71,98","56,09","47,89","45,29","91,27","98,97","98,9","98,26","94,57","88,94","81,86","70,5","66,67","66,04","87,22","98,66","98,38","97,32","92,4","84,33","75,2","61,67","54,36","51,83","84,63","97,68","97,91","96,16","89,69","80,83","69,56","52,13","43,52","40,54"
Abreu e Lima,"91,45","98,02","97,92","97,54","95,4","91,25","85,25","74,05","64,39","60,78","91,88","98,31","97,86","97,7","96,19","92,73","85,88","76,68","68,59","62,97","89,68","98,03","97,81","97,03","94,02","90,11","82,88","70,68","62,79","61,25","96,19",100,100,100,100,"91,67","92,31","83,33",100,100,"91,46","97,86","97,83","97,46","95,24","90,85","85,4","73,33","61,64","58,82","86,32",100,100,"93,33",100,"76,19","88,57","58,33","66,67","33,33","91,41","97,13","97,09","96,74","94,3","90,13","84,87","76,3","68,71","65,24","92,12","97,61","96,88","96,85","95,11","91,42","86,2","80,42","75,31","70,89","89,73","97,39","96,3","95,35","92,7","89,5","83,14","74,25","70,33","69,47","94,44",100,100,100,100,80,80,100,-,-,"91,1","96,82","96,98","96,7","94,1","89,8","84,48","74,35","63,99","59,93","84,27",100,100,"91,67",100,"72,73","87,5",50,50,50,"91,49","98,97","98,83","98,3","96,38","92,21","85,56","72,51","61,78","58,33","91,68",99,"98,81","98,46","97,03","93,74","85,64","74,27","65,17","59,25","89,63","98,72","99,36","98,8","95,38","90,72","82,63","67,98","56,99","55,86","97,1",100,100,100,100,100,100,"77,78",100,100,"91,76",99,"98,7","98,1","96,24","91,74","86,12","72,63","60,12","58,17","88,12",100,100,"94,44",100,80,"89,47","64,29",75,-
Afogados da Ingazeira,"84,89","98,41","98,07","96,54","91,75","82,06","70,21","57,41","51,61","49,47","87,23","98,55","97,5","96,85","93,44","85,95","76,44","64,78","60,43","58,54","75,59","97,11","98,51","92,62","84,13","72,54","58,01","35,53","31,39","32,88","87,32",100,100,100,100,"66,67","77,78","58,33",75,100,"84,12","98,41","98,4","96,72","91,32","80,27","66,76","53,43","45,32","41,01","91,8",100,100,100,90,90,"81,82",80,50,50,"82,29","97,89","97,56","94,79","88,5","76,9","63,85","52,92","47,56","46,41","85,01","98,24","96,95","95,18","90,83","81,72","69,44","60,93","58,29","56,65","71,43","95,51","97,94","89,8","76,59","67,88","57,14","28,48","19,18","22,5","81,48",100,100,100,100,50,50,50,100,100,"81,6","97,85","97,95","95,09","88,36","74,58","60,64","49,56","42,22","39,31","90,91",100,100,100,"83,33","83,33",80,100,100,100,"87,23","98,95","98,58","98,14","94,6","86,96","75,5","60,81","54,45","51,54","89,18","98,89","98,09","98,37","95,58","89,83","81,82","67,58","61,84","59,75","80,23","98,81","99,05","95,88","93,06","78,87","58,82","43,14","45,31","45,45","90,91",100,100,100,100,75,100,"62,5","66,67",100,"86,38",99,"98,83","98,18","93,95","85,56","72,08","56,33","47,49","42,15","92,86",100,100,100,100,100,"83,33","66,67",-,-
Afrânio,"81,88","97,23","98,09","97,13","87,52",77,"64,73","46,63","38,47","38,25","82,06","97,82","98,41","96,92","87,61","78,01","67,4","51,38","42,79","41,71","77,72","96,88","97,54","98,12","83,5","73,94","59,43","35,22","25,93","26,79","91,3",100,100,100,"83,33",100,-,"83,33",100,100,"82,79","96,73","97,97","97,07","88,4","76,67","63,66","43,41","36,86","36,97",100,100,100,-,100,100,-,-,-,-,"80,6","96,29","97,68","96,64","84,5","72,37","61,84","48,46","40,59","40,93","80,61","97,31","97,07","96,52","83,58","75,35","63,54","53,15","44,81","44,09","77,31","94,57","95,79","97,18","79,61",70,"60,16","38,24","35,42","41,67",90,100,100,100,"66,67",100,-,100,-,-,"81,51","95,71","98,66","96,59","86,84","69,28","60,87","44,51","36,88","36,84",100,100,100,-,-,100,-,-,-,-,"83,14","98,34","98,49","97,63","90,41","81,68","67,51","44,99","36,73","36,1","83,48","98,42","99,69","97,29","91,61","80,87","70,8","49,7","41,1","39,83","78,14",100,"99,07","99,3","87,59","77,78","58,62","32,81","18,33","15,63","92,31",100,-,100,100,100,-,75,100,100,"84,06","97,94","97,26","97,58","89,81","83,68","66,47","42,43","36,84","37,08",100,-,100,-,100,-,-,-,-,-
Agrestina,"76,74","96,84","95,53","93,93","81,76","70,43","56,51","40,57","32,87","30,87","78,52","97,23","95,19","93,9","84,06","75,28","61,64","45,78","39,4","36,61","65,28","98,43","94,16","90,11","68,91","56,13","41,31","28,11","23,42","21,67","79,31",100,100,100,"85,71",100,20,50,100,100,"77,11","96,26",96,"94,54","81,96","68,33","54,69","37,44","27,19","25,66","85,71",100,100,100,"87,5","85,71",100,"33,33",-,-,"73,83","95,49","93,48","90,93","75,41","64,45","52,77","40,95","33,54","29,55","75,38","96,27","93,48","90,31","77,16","69,89","54,65","44,76","37,5","31,93","65,39","97,22","92,78","85,31","67,3","56,74",44,"26,83","25,81","22,86",90,100,100,100,100,-,-,100,100,100,74,"94,48","93,57","92,46","75,31","61,05","52,93","40,37","31,37","28,44","92,86",100,100,100,100,100,100,-,-,-,"79,35","98,23","97,6","96,61","87,25","75,9","59,65","40,27","32,33","31,97","81,17","98,21","96,8","97,26","89,46","79,7","66,9","46,53","40,69","39,77","65,16",100,"96,49",95,"70,59","55,47","38,94","29,37","20,41",20,"73,68",100,100,100,80,100,25,-,-,-,"79,97","98,03","98,41","96,28","88,06","75,5","56,31","34,92","23,48","23,08","78,57",100,100,100,"66,67",75,-,50,-,-
Água Preta,"76,62","95,81","94,96","92,8","82,15","67,84","54,28","42,43","37,44","35,75","78,97","94,97","95,08","94,57","84,83","74,1","59,09","49,41","44,78","42,77","69,63","91,75","97,27","89,16","78,21","60,45","43,18","36,43","33,33","32,65","84,62",100,100,100,80,40,50,50,100,100,"76,7","96,68","94,56","92,63","81,69","66,44","54,13","39,75","33,74","30,97",100,-,-,-,-,100,-,100,-,-,"75,23","94,17","92,72","88,46","79,12","66,95","55,32","45,97","41,44","40,28","77,74","92,65","93,75","91,57","82,49","72,48","57,41","52,84","48,12","43,24","69,3","89,66","96,63","83,62","76,53","58,95",50,"40,37","35,38","39,29","87,5",100,100,100,75,-,100,100,100,100,"75,16","95,53","91,78","87,93","78,3","66,21","55,18","43,57","39,18","38,05",100,-,-,-,-,100,-,100,-,-,"77,89","97,48","97,11","96,32","85,12","68,64","53,37","38,97","33,48","31,42","80,07","97,32","96,32","97,21","86,88","75,46","60,71","46,45","42,07","42,39","69,99","94,87","97,87","94,27","80,23","62,2","37,84","31,54",30,"23,81","82,61",100,100,100,100,50,-,-,-,-,"78,1","97,8","97,28","96,27","85,04","66,64","53,23","35,96","28,28","23,89",-,-,-,-,-,-,-,-,-,-
Águas Belas,"70,22","95,43","93,64","87,33","72,13","58,03","46,18","32,77","28,18","28,41","72,39","95,26","94,13","88,5","77,54",64,"53,29","38,57","34,18","34,57","58,55","92,89","92,82","86,06","61,43","40,91","36,65","19,55","14,01","16,47",50,-,"66,67",100,"83,33",50,-,"16,67",-,-,"67,85","95,2","92,63","85,41","68,15","53,05","40,79","30,16","26,36","27,52","85,09","97,87","97,9","95,32","87,4","81,33","69,57","42,12","30,22","22,22","67,44","93,39","91,06","82,81","67,28","53,2","44,08","30,87","25,85","24,94","70,1","93,29","93,35","84,74","72,13","61,37","49,64","36,04","30,48","28,87","56,43","92,25","90,72","82,68","55,24","37,87","33,58","18,4","11,27","12,5","42,86",-,50,-,"66,67",-,-,-,-,-,"64,17","92,5","88,99","79,69","63,1","46,73","38,71","27,3","23,99","24,51","85,31","97,78","96,6","93,9","86,67","81,28","68,87","48,73","34,43","25,64","72,77","97,57","96,14","91,49","76,63","62,34",48,"34,34","30,13","31,23","74,42","97,2","94,96","92,03","81,86","66,23","56,64","40,52","37,23","39,01","60,74","93,75","95,24","89,18","68,02","44,6","39,46","20,53","16,28",20,"53,33",-,100,100,100,50,-,20,-,-,"71,2","97,99","96,02","90,53","72,98","58,73","42,48","32,59","28,39","30,04","84,88","97,97","99,1","96,76","88,16","81,38","70,27","36,05","26,92","19,61"
Alagoinha,79,"97,4","95,39","92,96","84,19","73,89","63,4","54,84","48,37","47,65","82,7","97,6","96,62","94,7","87,33","80,87","72,36","64,05","58,92","59,39","69,55","94,12","91,3","91,82","74,56","57,72",50,"37,21","29,31","27,27","81,25",100,-,100,100,"66,67",100,"33,33",-,-,"77,92","97,66","95,41","91,95","83,6","71,34","59,36","49,17","40,18","36,46","79,28",100,"92,86",100,"90,48","71,43",40,"52,94","42,86",50,"74,9","95,71","93,31","89,61","80,06","66,95","55,77","50,82","43,68","42,21","78,88","96,74","95,88","91,75","82,03","75,24","63,57","61,19","56,13","54,26","65,69","88,37","88,33","86,59","72,41","49,33","42,86","36,07",25,"23,53","87,5",100,-,100,100,100,-,-,-,-,"73,56","96,03","92,88","88,62","80,08","63,68","52,46","43,77","33,73","31,4","85,19",100,"90,91",100,"85,71","72,73",60,"85,71",100,100,"82,97","99,08","97,55","96,42","88,13","80,56","70,35","58,51","52,27","52,02","86,17","98,43","97,42","97,55","91,88","85,96","80,27","66,42","60,93","62,96","73,79",100,"96,88","97,4","76,83","66,22","58,33","38,24","32,35","31,25",75,100,-,100,100,50,100,50,-,-,"82,23","99,33","97,67","95,5","87,19","79,01","65,46","54,62","46,67","41,05","73,68",100,100,100,"92,86",70,20,30,-,-
Aliança,"78,28","95,54","94,83","92,27","85,3","73,53","60,56","47,15","39,1","37,26","80,78","96,1","95,97","92,89","86,17","76,72","68,38","53,43","43,61","41,87","70,77","94,97","92,79","89,72","81,97","67,83","51,72","37,17","26,79","25,74","63,16",100,100,100,75,100,50,-,-,-,"78,93","95,36","94,77","92,52","85,7","73,46","59,67","47,11","40,31","37,53","92,31",100,-,100,100,100,50,100,-,-,"75,11","93,12","92,65","89,01","81,27","68,56","55,67","44,07","36,96","34,67","78,67","94,55","94,07","91,3","82,54","72,13","63,11","51,93","43,75",40,"67,04","92,16","90,16","85,67","77,89","62,87","45,42","34,25","26,72","21,57","85,71",100,100,-,"66,67",100,100,-,-,-,"75,68","92,61","92,64","88,9","81,65","68,66","55,69","43,8","36,94","35,47",100,-,-,100,100,100,-,-,-,-,"81,2","98,13","97,06","95,29","88,92","77,9","64,99","49,71","40,77","39,31","82,54","97,68","97,76","94,3","89,15","80,19","72,67","54,49","43,51","43,15","75,04","97,93","96,43","94,55","86,46","73,98","58,7","40,19","26,85",30,50,100,-,100,100,100,-,-,-,-,"81,89","98,38","96,88","95,77","89,3","77,62","63,23","49,91","42,93","39,23","85,71",100,-,100,-,-,50,100,-,-
