Código Mantenedora,Razão Social,CNPJ,Natureza Jurídica,Código IES,Instituição(IES),Sigla,Telefone,Sitio,e-Mail,Endereço Sede,Município,UF,Organização Acadêmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,Data do Ato de Criação da IES,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Reitor/Dirigente Principal,Representante Legal,Sinalizações Vigentes,Situação da IES
1336,ITPAC INSTITUTO TOCANTINENSE PRESIDENTE ANTONIO CARLOS S.A,02.941.990/0001-98,Privada com fins lucrativos,5580,Afya Faculdade de Ciências Médicas de Garanhuns (Sub Judice) (AFYA GARANHUNS),AFYA GARANHUNS,(81) 4040-4242,https://www.fameg.com.br/,adriene.jacinto@afya.com.br; gabriele.duraes@afya.com.br; luiz.pereira@afya.com.br,Avenida General Costa e Silva - 06 - CEP: 55297-130 - Novo Heliópolis,Garanhuns,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,13/11/2007,4,2023,-,,-,,,,,Ativa
759,SOCIEDADE EDUCACIONAL E CULTURAL SERGIPE DEL REY LTDA,32.728.800/0001-10,Privada com fins lucrativos,22514,Afya Faculdade de Ciências Médicas de Jaboatão dos Guararapes (AFYA JABOATÃO),AFYA JABOATÃO,(81) 996689915,https://jaboatao.afya.com.br/,vanessa.piasson@afya.com.br,Avenida General Barreto de Menezes - 738 - CEP: 54330-000 - Cajueiro Seco - Piedade,Jaboatão dos Guararapes,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,09/02/2018,5,2022,-,,-,,,,,Ativa
57,AUTARQUIA DE ENSINO SUPERIOR DE ARCOVERDE,11.462.454/0001-09,Pessoa Jurídica de Direito Público - Municipal,73,CENTRO DE ENSINO SUPERIOR DE ARCOVERDE (CESA),CESA,(87)3821-0644 / (87)9927-4392,www.aesa-cesa.br,direcaocesa@hotmail.com,Rua Gumercindo Cavalcanti - 420 - CEP: 56512-902 - SÃO CRISTOVÃO,Arcoverde,PE,Faculdade,Presencial - Superior,Publica,Especial,07/08/1969,-,,-,,2,2022,,,,Ativa
446,AUTARQUIA BELEMITA DE CULTURA DESPORTOS E EDUCACAO,10.264.877/0001-43,Pessoa Jurídica de Direito Público - Municipal,674,CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO (CESVASF),CESVASF,(87)38761248,www.cesvasf.com.br,secretaria@cesvasf.com.br,BR 316 - Campus Alto do Encanto - s/n - CEP: 56440-000 - Nova Olinda,Belém do São Francisco,PE,Faculdade,Presencial - Superior,Publica,Especial,15/03/1975,-,,-,,3,2022,,,,Ativa
276,AESO-ENSINO SUPERIOR DE OLINDA LTDA,09.726.365/0001-72,Privada com fins lucrativos,4420,Centro Universitário Aeso - Barros Melo (Uniaeso),Uniaeso,(81) 2128 9797,www.barrosmelo.edu.br,aeso@aeso.br,Avenida Transamazônica - 405 - CEP: 53300-240 - Jardim Brasil II,Olinda,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,15/05/1968,5,2019,5,2019,3,2022,,,,Ativa
2996,IBGM - INSTITUTO BRASILEIRO DE GESTAO & MARKETING LTDA - EPP,07.397.220/0001-40,Privada com fins lucrativos,4702,CENTRO UNIVERSITÁRIO BRASILEIRO (UNIBRA),UNIBRA,81 981821930,www.grupounibra.com,diretoria@grupounibra.com,R Rua Joaquim Felipe - 250 - CEP: 50050-365 - Boa Vista,Recife,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,11/04/2008,5,2023,5,2018,4,2022,,,,Ativa
369,ASSOCIACAO DO ENSINO SUPERIOR DA VITORIA DE STO ANTAO,01.448.515/0001-11,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,3515,CENTRO UNIVERSITÁRIO DA VITÓRIA DE SANTO ANTÃO (UNIVISA),UNIVISA,(81) 3523 1020,www.faintvisa.com.br,ubirajarajc@hotmail.com,Loteamento São Vicente Ferrer - 71 - CEP: 55610-900 - Cajá,Vitória de Santo Antão,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,26/02/1971,4,2018,4,2021,4,2022,,,,Ativa
1125,APESU ENSINO SUPERIOR DE PERNAMBUCO LTDA,11.870.359/0001-36,Privada com fins lucrativos,1708,CENTRO UNIVERSITARIO DO RECIFE (UNIPESU),UNIPESU,(11) 5586 4291,,pigeral@unip.br;pigeral2020@gmail.com,Rua Dom Bosco - 551 - CEP: 50070-070 - Boa Vista,Recife,PE,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,06/03/2001,4,2020,-,,3,2022,,,,Ativa
1198,SOCEC- SOCIEDADE CAPIBARIBE DE EDUCACAO E CULTURA LTDA,41.229.501/0001-21,Privada com fins lucrativos,1805,CENTRO UNIVERSITÁRIO DOS GUARARAPES (UNIFG),UNIFG,(81) 3461-5503,www.unifg.edu.br,regulatorio@animaeducacao.com.br,Rua Comendador José Didier - 27 - CEP: 54400-160 - Piedade,Jaboatão dos Guararapes,PE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,09/08/2001,5,2023,4,2022,3,2022,,,Em supervisão - Procedimento Sancionador sem Medida Cautelar,Ativa
545,"IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.",02.608.755/0001-07,Privada com fins lucrativos,1077,Centro Universitário Estácio do Recife,-,,www.estacio.br,cgfirpe@gmail.com;regulatorio.nacional@estacio.br,Avenida Engenheiro Abdias de Carvalho - 1678 - CEP: 50720-635 - Madalena,Recife,PE,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,16/02/1998,5,2022,-,,3,2022,,,,Ativa
